Index_number,Star_name,Distance,Mass,Radius,gravity
67,Polaris Australis,0281,1.59,3.74,2.10939417e+20
68,R Coronae Borealis,04,566,0.85,85,7.50891258e+22
69,54 Piscium,036.1,0.76,0.94,1.00826388e+20
70,Mira,0300,1.2,370,1.5919956e+20
71,RW Cephei,14000,13.9,1158,1.8440615699999999e+21
72,Lacaille 8760,012.87,0.6,0.51,7.959978e+19
75,II Pegasi,0130,0.8,3.4,1.0613304e+20
76,VY Canis Majoris,03900,17,1420,2.2553270999999998e+21
77,Pistol Star,025000,100,320,1.326663e+22
78,S Doradus,0169000,24,380,3.1839912e+21
79,UY Scuti,05100,8.5,755,1.1276635499999999e+21
80,Barnard's Star,05.98,0.14,0.20,1.8573282e+19
82,Proxima Centauri,04.25,0.12,0.15,1.5919955999999998e+19
83,KIC 8462852,01470,1.43,1.58,1.89712809e+20
84,R136a1,0163,000,290,32,0.0
85,Melnick 42,0163,000,189,21.1,0.0
86,WR 102,018,134,19,0.39,1.7777284199999997e+22
87,VFTS 352,0164,000,57.48,14.47,0.0
88,YBP 1194,02,772,1.01,0.99,1.024183836e+23
89,Gliese 1214,047.5,0.16,0.21,2.1226608e+19
90,NML Cygni,05,251,50,2205,3.3299241299999996e+22
91,VB 10,018.72,0.075,0.10,9.9499725e+18
92,WOH G64,0163000,20,1635,2.653326e+21
93,TRAPPIST-1,039.6,0.089,0.12,1.1807300699999998e+19
94,2MASS J0523-1403,040.3,0.07,0.086,9.286641e+18
97,2MASS J10073369-4555147,46,44,0.94,5.8373172e+21
98,2MASSI J1010148-040649 [de],55,51,0.98,6.765981299999999e+21
101,2MASS J10224821+5825453 [de],60,27,1.41,3.5819901e+21
102,2MASSW J1036530-344138 [de],53,49,0.97,6.5006487e+21
103,2MASS J1047538+212423 [de],34.4,42,0.94,5.5719846e+21
104,DEN 1048-3956,13.15,77,1.07,1.02153051e+22
105,Luhman 16B,6.516,43,1.02,5.7046509e+21
106,Luhman 16A,6.516,40,1.01,5.306652e+21
107,DENIS-P J1058.7−1548,49,64,1.00,8.490643200000001e+21
108,TWA 28,180,36,2.39,4.7759868e+21
109,Cha 110913-773444,163,8,1.8,1.0613304e+21
111,SDSS J111010.01+011613.1,63,9,1.24,1.1939967e+21
112,2MASS J11145133−2618235,18.2,33,0.96,4.3779879e+21
113,TWA 26,137,30,2.20,3.9799889999999994e+21
115,2MASS J11544223-3400390 [de],129,37,1.50,4.9086531e+21
116,2MASSW J1155395-372735 [de],31,64,1.00,8.490643200000001e+21
119,2MASS J12074836-3900043,217,17,1.71,2.2553270999999998e+21
120,2MASSI J1217110-031113 [de],36,42,0.94,5.5719846e+21
123,2M 1237+6526,45.6,41,0.94,5.439318299999999e+21
125,TWA 29,262,2.00,25,2.653326e+20
126,SDSSp J125453.90-012247.4 [de],38,47,0.98,6.2353161e+21
127,Kelu-1A,61,63,0.98,8.357976899999999e+21
128,Kelu-1B,61,58,0.98,7.6946454e+21
129,2MASS J13204427+0409045,101,67,1.01,8.888642099999998e+21
130,SDSSp J132629.82-003831.5 [de],65,51,0.97,6.765981299999999e+21
131,SDSSp J134646.45-003150.4 [de],48,44,0.94,5.8373172e+21
132,2MASS J13595510-4034582,51,63,1.00,8.357976899999999e+21
133,ULAS J141623.94+134836.3,29.7,32,0.96,4.2453216e+21
134,SDSS J141659.78+500626.4 [de],149,59,0.99,7.827311699999999e+21
135,DENIS-P J142527.97-365023.4 [de],38,21,1.32,2.7859923e+21
136,LHS 2924,38.5,76,1.06,1.00826388e+22
137,2MASS J14392837+1929150,47,72,1.03,9.5519736e+21
138,LSPM J1440+1339,72,92,1.19,1.22052996e+22
139,2MASS J14482563+1031590 [de],47,59,0.99,7.827311699999999e+21
140,CFBDSIR 1458+10A,104,11.1,1.5,1.4725959299999998e+21
141,CFBDSIR 1458+10B,104,9,1.3,1.1939967e+21
142,TVLM 513-46546,35.1,75,1.05,9.9499725e+21
143,2MASS 1503+2525,20.7,44,0.94,5.8373172e+21
144,CFBDS J150411+102717,71,44,0.94,5.8373172e+21
145,2MASSW J1506544+132106 [de],46,69,1.02,9.1539747e+21
146,2MASS 1507−1627,23.9,60,0.99,7.959978000000001e+21
147,TVLM 868-110639,53,79,1.08,1.04806377e+22
149,2MASSW J1515008+484742 [de],34,57,0.99,7.561979099999998e+21
150,2MASSI J1526140+204341 [de],67,54,0.98,7.1639802e+21
151,DENIS-P J153941.96-052042.4 [de],51,63,1.00,8.357976899999999e+21
152,2MASS J15462718-3325111 [de],37,44,0.94,5.8373172e+21
153,2MASSW J1552591+294849 [de],68,30,1.43,3.979989e+21
154,2MASSW J1555157-095605 [de],44,71,1.03,9.4193073e+21
155,2MASS J16150413+1340079 [de],48,42,0.94,5.5719846e+21
156,SDSSp J162414.37+002915.6 [de],36,43,0.94,5.7046509e+21
157,2MASS J16262034+3925190 [de],110,71,1.03,9.4193073e+21
158,2MASSW J1632291+190441 [de],50,49,0.97,6.5006487e+21
159,WISEPA J164715.59+563208.2,28,41,0.94,5.439318299999999e+21
160,LSPM J1658+7027 [de],60,73,1.04,9.684639899999999e+21
161,2MASSI J1726000+153819,114,24,1.40,3.1839912e+21
163,SDSSp J175032.96+175903.9,90,47,0.97,6.235316099999998e+21
164,2MASS J18283572-4849046,39,45,0.95,5.9699835e+21
165,LSR J1835+3259,18.5,77,1.07,1.02153051e+22
166,2MASSW J1841086+311727,138,67,1.01,8.888642099999998e+21
167,2MASS J18432213+4040209,46,96,1.22,1.27359648e+22
168,2MASS J20004841-7523070,105,25,1.88,3.3166575e+21
169,SDSS J204749.61-071818.3,65,46,0.96,6.1026498e+21
170,2MASSI J2057540-025230,47,70,1.02,9.286641e+21
172,2MASSI J2104149-103736,62,69,1.02,9.1539747e+21
173,PSO J318.5−22,80,6.5,1.53,8.6233095e+20
174,HB 2124-4228,113,94,1.21,1.2470632199999998e+22
175,2MASS J21392676+0220226,32.1,46,0.96,6.1026498e+21
176,2MASS J21481628+4003593,26.3,55,0.99,7.2966465e+21
178,2MASSW J2206450-421721,93,22,1.33,2.9186586e+21
179,2MASSW J2208136+292121,154,27,1.41,3.5819901e+21
180,2MASSW J2224438-015852,38,61,0.99,8.0926443e+21
181,2MASS J22282889-4310262,35,42,0.94,5.5719846e+21
182,2MASS J22373255+3922398,64,73,1.04,9.684639899999999e+21
183,2MASSW J2244316+204343,56,12,1.29,1.5919956e+21
184,2MASS J23224684-3133231,56,24,1.39,3.1839912e+21
185,2MASS J23225299-6151275,148,17,1.59,2.2553270999999998e+21
186,2MASS J23515044-2537367,67,88,1.16,1.16746344e+22
187,2MASSI J2356547-155310,74,80,1.09,1.0613304e+22
225,WISE 0410+1502,20,6,1.17,7.959978e+20
229,WISE 0458+6434A,35.9,15,4.2,1.9899945e+21
230,WISE 0458+6434B,35.9,10,3.8,1.326663e+21
284,WISE 1405+5534,25.3,30,0.86,3.9799889999999994e+21
